texture_name,tri_dumped_tga_sha1,tri_dumped_width,tri_dumped_height,tri_dumped_width_pow2,tri_dumped_height_pow2,tri_dumped_png_converted_sha1,tri_dumped_alpha_stripped_sha1
award_cup01.bmp,ea171453e241d761a39fb70fe0f5c324c7abe669,55,49,64,64,b10edb331c14a2f73fe700215433d3ed5bc0af91,dbc2c694d7a66a96a0576335403095fda497ac34
award_cup02.bmp,fd326042a3f996c399327cd8642076bff6959303,8,8,8,8,acfc3fda00f0de3982b81bdb64d26f11fd9ec004,c21a4a054c4a3f5dafea7f0ad6a7a47dadd5d239
award_cup03_alp_ovl.bmp,0dd0e9a60e46b94c5a36df7cef34a90005c8098a,22,48,32,64,08c12e3cd181c2fd0d09160813c6627cacf47952,99a38c5dc3321a77fa4359b0bffc752192a782c4
awinke_ovl_sub_alp.bmp,3ab5c4f770ce6f8963ae781b1faef8e45f23703c,21,10,32,16,24841c9a6ae685bbe5becfb917a788aa20ef3272,b82e1c62c7a1797f8008c85c8872e9bdaf160afc
baketu_01.bmp,3423ebe8687df91b2d33ebd6ff1648953d6134ce,32,32,32,32,c83b0fe546c462064772465d024e43c87363b70c,b9c399499265cbec9c767ea670964edd23a4c186
baketu_02.bmp,85032fdd93f433f4e4a1850ab38b29455be7e168,32,32,32,32,2d7007a9aac73762b6a1f084b26708df15c9f5bb,a894a9e5395f11e58f71feeb9d0905dc0c5bf4fe
bat_dam_ovl_alp.bmp,7e707e231986af0c5604293ff2e9ec31d4018f2f,128,128,128,128,25e2c511efa8819bfb5418223030f962bf315e25,166f8fe6ef9f859594c0adcc40c820591c6abf65
bat_def_ovl_add_alp.bmp,ce7d20a2b644376b4a74fbfe7bcb331ebb6404bf,8,8,8,8,30d56636c6ccca6d057453961459c3df835e776c,31e0350f5d6209c08c184385903d1dd26048357a
bat_def_ovl_alp.bmp,c907c19e6509988f4d13b99fa3e4e7eb35ee04a0,128,128,128,128,e9a7515a5e7b6efab7944b7fdf7a94c8544f1814,275395cb745cf1cc84b316adf8e1a154b7b122ce
battely.bmp,da83417f2c739cf0a1e8c7a2d536b5e3038f3d13,158,48,256,64,dd2740feaadd8af98157e9256c3e2fa44b8743ad,be1c1bf4a0ed0701058110c181f160ab261c384c
battely.bmp_7ccbc70980330a2a630b6780d41cb1a1,ed312e74579eb93c283124fb0b0407503643e148,78,24,128,32,d7c45bb209b03a363ab64adaac0dff9dc561120e,20af9a452ad89e9be779247e34cb145c8da2af2b
beacon_body.bmp,c40425cef5c95792170c511dde6b43d00a520618,64,64,64,64,680fff21cf81d2f2addaa18e364318a33b58e7af,e55777cfb55ccb5a488de24d166bea532301392a
beacon_body_xr.bmp,8921e1464aaf8cc984ea24d646a2e685a743c3d1,64,64,64,64,be3de74f5116c8d7385c08cfd4e3f7cf1d744d58,d6366712d5bdd9e37779bee8a01c92050756a9b8
bee_cmd_ovl_alp.bmp,09953f745c6da3271f8fc1ca1454160fe25de782,15,64,16,64,74c4803813585342c95330dcafd7933f2d43291c,ce8f932c9f77b87454faa1a7d1e2d8ca047dc018
bee_def.bmp,a1faf4614fffe50b26d62b4dba2ebe522120e201,30,128,32,128,f271ee04110889018258d1e8b72844811e412161,92f19449c9cd2ee032b89e51fd65debcecc69002
bee_high.bmp,2d8177c2a7195dba0b6ec4064cb912633c45e2fc,30,128,32,128,75297816128426b58b8535fea539bc8d0ac17b5a,dfad274d32146b035acfee6d5de140c05215f647
bee_high_alp_ovl.bmp,c4cbbc8b2f07b68e201ad45e18b379b47972773c,128,64,128,64,ab2c2dcc6a37826eb7add87c4fb8cee1892fcdb8,e7a88a1eefa91b3879a82c20711bb27511b2c431
bee_nest_sphere04.bmp,b82d446728713a7206652454e587e1d7fea5f2fa,48,96,64,128,2e8fc60990644ccf8f7dafb9b3c00e9bc1bacc91,bf272f0c656ad4cc25e854dbfcbfde06a4079d3f
